Tissue,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver
Mouse,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob
Time,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240
Index,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
G6P,0.861007822635166,0.312446868968264,0.315809505770528,0.627320191407024,0.487601810627953,0.233171160923292,0.284406771894253,0.809218187344461,0.607489176947946,1.4347359796321,0.69219030530272,1.70022153680691,1.85040727511652,1.75341856145549,1.47174270614296,1.77774241226457,1.64439765128717,1.30662082471447,1.11749352968071,0.918949243997655,1.42200547210607,1.5603331777541,1.37132349161655,1.59651258070113,2.41300265028665,2.22776408384744,2.39008601844262,1.16401135742359,2.31885469720893,2.45881986573668,2.24922023780337,3.37536387077066,2.08758470247636,3.51299123546738,4.35860304212291,2.51354757435444,4.3939482410164,3.41365923099535,2.18673604509846,2.80480483997731,2.29251130611823,3.06971569417983,2.53027745294001,2.83755103726924,4.30960436809166,2.15747961214375,2.00873300734107
F6P,0.215559339942487,0.125437307395472,0.111651786018245,0.208087185331965,0.15536442457396,0.0778942412515719,0.0640870853906258,0.295875601565231,0.271936001351552,0.421179917100695,0.177071566343413,0.515436974790214,0.571561707642168,0.547745819762646,0.445139695148395,0.523075064353738,0.483333620414828,0.307703646818012,0.288817737937079,0.240550209000013,0.398926318653243,0.387998715771063,0.34258882400808,0.393281317519072,0.625555517363707,0.604313430549923,0.740723675242927,0.397350306473722,0.689376158051891,0.726332381837868,0.613329513818355,0.977841854914625,0.592810631923518,0.937605069079157,1.11431730665744,0.604921878905604,1.17089813455464,0.903550793748135,0.779429265480804,0.798983648865731,0.683271846870315,0.871883425265452,0.673047085576569,0.845398188795029,1.2744156670164,0.660284218580177,0.496210361500698
"F1,6P",0.0586776834486008,0.0600244533823655,0.0723755821360485,0.0896279845594715,0.0616687448592171,0.0565410404546205,0.0451052458165414,0.0524223308765095,0.033491069512983,0.0748171942910449,0.0675735821362185,0.0951790713979333,0.0762699140699073,0.104429340658716,0.0739065668635961,0.0721225290124302,0.0796243527800988,0.10412607669443,0.123246941811786,0.122518600347637,0.0635345049391551,0.0695531168969425,0.0971611257962449,0.215043354641022,0.208550484563804,0.195216320722732,0.165131467955058,0.140532121978956,0.151030883439094,0.123139299355406,0.15689616058286,0.118487496406821,0.185871024111438,0.228591451765652,0.223650026864846,0.189367436722885,0.16091199016439,0.224886618816093,0.204146634400298,0.306083660603484,0.144798183890327,0.218620641654615,0.194590920325414,0.121251398017044,0.264356853308292,0.102646532382971,0.138189406202929
DHAP,NaN,NaN,0.0276187835482444,NaN,NaN,0.0497877150071639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.047742899765098,NaN,NaN,NaN,NaN,0.0658169693676757,NaN,0.0172777658049914,0.0430954909334818,0.0265267682185876,0.0158518670042366,NaN,0.0347358759689852,0.0350743714788656,0.0505960153188357,0.0696753399177213,0.0767963648772183,0.0387413759283706,0.077371894978134,0.0347015103606576,0.046845843727897,0.0366533343154053,0.0206791230377618,0.0347972644209018,0.0174177242226406,0.0526267615321988,NaN,0.0540820468382263,0.0652146412548056,NaN,0.0248110797899577
3PG,0.0583278634843259,0.104447460428937,0.0597072080918857,0.0593134088746328,0.0773710789908386,0.0494988129460861,0.0507735156663304,0.110408105022946,0.130480788973882,0.114225180285045,0.225043403929927,0.089799838503991,0.124741306356214,0.11923751204389,0.126638455735005,0.117166198300307,0.0931624310189309,0.144974979228931,0.11659698720291,0.158387501775793,0.128323766858205,0.136239047325434,0.166482391995512,0.114580943261653,0.102825267947953,0.0568773559377918,0.114198971178325,0.075517279111569,0.168530287789547,0.109368762757178,0.0797767143667968,0.0618391215069129,0.0921328727972921,0.140250469706726,0.0980827534020068,0.111910730075723,0.0538694852524024,0.0734671960470066,0.115872578481338,0.260308428242043,0.139778092999355,0.0985445994798353,0.141092974093732,0.0533561797747193,0.0842123113907232,0.083068151346957,0.0889203828598948
2PG,0.015989101393299,0.00529603559675716,0.0163928407254453,0.0150542308488034,NaN,0.0165580701757345,NaN,0.0321529078669896,0.00895446916320115,0.0280085340726298,0.0484357496413587,0.0298343954978436,0.0312259649119593,0.0308860584517173,0.0263860654899667,0.0221764085699593,0.0290157961678482,0.0223627575795663,0.032631941011651,0.0501282378868291,NaN,0.0361312784497117,NaN,0.0281708268661435,0.0210595944969629,0.0270683264122582,0.0260187813436105,0.0156670337240506,0.0289831901797733,0.0269762467387519,0.0345086611442052,0.0233068786949782,0.0236321155781418,0.037009521296207,0.0294752263605615,0.029042152415285,0.0161298220185566,0.0289584472310906,0.0281458580809862,0.0608559436303066,0.0300357025497565,0.0414010326087547,0.0402401994121315,0.0160582092289734,0.0289541857226969,0.0145615566997766,0.0204794192586952
PEP,0.0143782453848323,0.0314894623703713,0.0128149213060761,0.016814576805378,0.0178466933880613,0.0144986980918357,0.0122260970713245,0.0351469296499168,0.0273615092457728,0.0271927980396121,0.0438772063723515,0.032730689496421,0.0360546076921788,0.0280070398309563,0.0295838041518015,0.0286781677354097,0.0343538774151636,0.0260120489423361,0.05276732296038,0.0626212041206809,0.031639351386781,0.0383056951129451,0.0426400204969921,0.042516464157755,0.0362840944676133,0.0326813103219984,0.0342698033668947,0.0212295127895485,0.0548227346321774,0.0289725520499736,0.0326227894102898,0.0257205669880836,0.031585040887174,0.0513536643685707,0.0286409406919302,0.0450385740542937,0.0216974824549474,0.0457978820417103,0.0444534269539425,0.0829266169784156,0.0383469068739044,0.0500135447968475,0.0463696931563344,0.0270099392410798,0.0488035996460488,0.0193634035974525,0.0269095521604832
