Tissue,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver
Mouse,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob
Time,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240
Index,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Gpi1,1,1.302792988,0.817576948,1.064620813,1.349091397,1.050660502,1.086487827,1.278234779,0.937075151,1.056890628,1.092449069,1.135444238,1.271349104,1.175143093,1.281462866,1.510270133,1.333423072,1.092815066,0.971070638,1.164671631,1.022407085,1.020698487,1.424947663,2.261428594,2.887427695,2.602495714,2.85013892,2.279057501,2.589240176,2.307321212,2.651042492,2.277604281,2.494227566,2.442328654,2.424184158,2.544177469,1.646086883,1.616395815,1.694929485,1.904970258,1.686712906,1.769781866,1.995307357,1.945282844,3.640703705,2.031568435,1.497012674
Fbp1,1,1.067067284,0.925127732,1.011518085,1.224220962,1.077785972,1.07804903,1.199142571,1.084106395,0.985139909,1.165691234,1.122552287,1.410554366,1.204052711,1.301539809,1.301591935,1.400949378,1.397888041,1.127463507,1.197173577,1.203946493,1.241111048,1.348629907,2.327065406,2.50696468,2.707708632,2.703689878,2.563886987,2.612624515,2.447645334,2.24518964,2.671489885,2.163383488,2.065533172,2.556247655,2.154379459,2.160226317,2.152906615,1.793246057,1.878084659,2.17835435,1.992317635,2.057261007,2.074499922,2.426943487,1.959545406,1.493121366
Pgam1,1,0.993248765,0.783029453,0.987041071,1.242889428,1.079374655,1.076482971,1.203228146,1.054608875,1.052334231,1.057534142,1.130033211,1.212157914,1.2329364,1.368191686,1.23304175,1.250611594,1.21980434,1.038091553,1.140083076,1.253214795,1.129393503,1.352075335,1.922221991,1.611204672,1.719516108,1.804724285,1.90212645,1.779857564,1.61836058,1.350453305,1.6657612,1.524417777,1.628047101,1.769073904,1.664947481,1.341370521,1.318242614,1.271950432,1.430889614,1.426303355,1.386855348,1.432561115,1.428621856,1.874666769,1.468550712,1.282618265
Bpgm,1,0.973416496,0.759601988,0.68541145,0.832306217,0.848181361,0.787548438,0.618882979,0.796988309,0.675906826,1.000926254,0.857852406,0.741174128,0.651543526,0.676812106,0.879171643,0.445924514,0.882721118,0.723105502,0.433341643,0.430059166,0.375837687,0.666351929,0.621241478,0.894061817,0.778877248,0.79765789,0.431124525,0.516759644,0.481632043,0.985707835,0.73378243,0.612445406,0.855571246,0.501703289,0.56062858,0.493673446,0.593430618,0.570722131,0.434234123,0.647245009,0.586552244,0.502138403,0.415707887,0.497934507,0.524862538,0.481206831
Eno1,1,1.06624638,0.832573612,1.013981451,1.27181215,1.151775246,1.084352129,1.194414282,1.045643245,1.048750084,1.089480817,1.203999811,1.394538981,1.01666095,1.165592885,1.319254533,1.331660727,1.257284264,1.105141465,1.226773576,1.193880364,1.071467781,1.483956268,2.080380305,2.383723544,2.146186994,2.261185509,1.906609315,2.214109287,1.99067987,2.031661721,2.108979658,1.900385719,1.885723655,2.071015219,1.824977688,1.520670894,1.725312718,1.53528115,1.717159324,1.634081081,1.682604701,1.780716751,1.611810896,2.483857682,1.83307092,1.458525481
Gpd1,1,0.759570624,0.74670619,1.050398153,1.07334595,1.029268572,0.903063659,1.210438509,1.049837246,0.895133519,1.045236764,1.1046828,1.17251607,0.730656406,1.060499632,1.12400922,1.085087718,1.167404686,0.938336493,1.13476214,1.025398239,0.941409231,1.191635557,2.36973497,2.281193131,2.150388223,2.359019644,2.381682178,2.182316258,2.122815963,2.088617327,1.831607239,2.311457637,2.164721486,2.4213714,2.217385468,1.531094487,1.755247399,1.842035255,1.846824919,1.62166274,1.970481707,2.016572775,1.698064555,2.552143865,1.95453368,1.653299675
Pgm2,1,1.00200945692721,0.818869521240934,0.990829310521578,1.05659883996096,1.05041093056276,1.04783931415577,1.1036244396982,1.06769706413464,0.900228205732885,1.09758201441934,1.03026392169322,1.14452873494594,0.928805608896468,1.04764346770597,1.18042127458719,1.04415095618459,1.15149123449678,0.857289916713902,1.18762299738276,1.01938326816046,0.938472544212441,1.29720817054148,1.26896368716864,1.40764421127025,1.11912930272583,1.30305800342811,1.27238358767136,1.30286869384021,1.45243326820927,1.06688992701196,1.13054342113258,1.23277630391774,1.23300671917599,1.3869332787605,1.34810243863395,1.18061431118518,1.18265359732721,1.00202198972309,1.25593528531611,1.12639271329924,1.28546813307546,1.17280578966699,1.33452059538926,1.36655896781842,1.08768242934825,1.09473395013552
